"Fund Category","Fund Name","AmfiCode","Plan Name","NAV Date","NAV Amount"
"Fund of Funds","HDFC Gold ETF Fund of Fund","119132","HDFC Gold Fund - Direct Plan - Growth Option","25 Nov, 2025","39.0424"
"Fund of Funds","HDFC Income Plus Arbitrage Active FOF","130540","HDFC Income Plus Arbitrage Active FOF - Regular IDCW Reinvestment","25 Nov, 2025","34.8803"
"Fund of Funds","HDFC Income Plus Arbitrage Active FOF","130547","HDFC Income Plus Arbitrage Active FOF - Direct IDCW Reinvestment","25 Nov, 2025","38.5964"
"Fund of Funds","HDFC Income Plus Arbitrage Active FOF","130533","HDFC Income Plus Arbitrage Active FOF - Regular Growth Plan","25 Nov, 2025","39.8049"
"Fund of Funds","HDFC Income Plus Arbitrage Active FOF","130543","HDFC Income Plus Arbitrage Active FOF - Direct Growth Plan","25 Nov, 2025","43.9394"
"Fund of Funds","HDFC Multi-Asset Active FOF","148900","HDFC Asset Allocator Fund of Funds - Regular Plan - IDCW Option","25 Nov, 2025","19.1000"
"Fund of Funds","HDFC Multi-Asset Active FOF","148902","HDFC Asset Allocator Fund of Funds - Direct Plan - IDCW Option","25 Nov, 2025","20.1400"
"Fund of Funds","HDFC Multi-Asset Active FOF","148901","HDFC Asset Allocator Fund of Funds - Regular Plan - Growth Option","25 Nov, 2025","19.1000"
"Fund of Funds","HDFC Multi-Asset Active FOF","148903","HDFC Asset Allocator Fund of Funds - Direct Plan - Growth Option","25 Nov, 2025","20.1400"
"Fund of Funds","HDFC Developed World Overseas Equity Passive FOF","149181","HDFC Developed World Indexes Fund of Fund - Regular Plan - Growth Option","24 Nov, 2025","17.3830"
"Fund of Funds","HDFC Developed World Overseas Equity Passive FOF","149180","HDFC Developed World Indexes Fund of Fund - Direct Plan - Growth Option","24 Nov, 2025","17.7290"
"Fund of Funds","HDFC Silver ETF Fund of Fund","150736","HDFC Silver ETF Fund of Fund - Growth Option","25 Nov, 2025","25.6534"
"Fund of Funds","HDFC Silver ETF Fund of Fund","150737","HDFC Silver ETF Fund of Fund - Direct Plan - Growth Option ","25 Nov, 2025","25.9423"
"Fund of Funds","HDFC Diversified Equity All Cap Active FOF","153863","HDFC Diversified Equity All Cap Active FOF Regular Growth","25 Nov, 2025","10.2615"
"Fund of Funds","HDFC Diversified Equity All Cap Active FOF","153862","HDFC Diversified Equity All Cap Active FOF Direct IDCW Option","25 Nov, 2025","10.2791"
"Fund of Funds","HDFC Diversified Equity All Cap Active FOF","153861","HDFC Diversified Equity All Cap Active FOF Regular IDCW Option","25 Nov, 2025","10.2615"
"Fund of Funds","HDFC Diversified Equity All Cap Active FOF","153860","HDFC Diversified Equity All Cap Active FOF Direct Growth","25 Nov, 2025","10.2791"
"ETF","HDFC BSE SENSEX ETF","135854","HDFC S&P BSE SENSEX ETF - Growth Option","25 Nov, 2025","95.2560"
"ETF","HDFC Gold ETF","113049","HDFC Gold Exchange Traded Fund","25 Nov, 2025","106.7559"
"ETF","HDFC NIFTY 50 Exchange Traded Fund","135853","HDFC NIFTY 50 Exchange Traded Fund - Growth Plan","25 Nov, 2025","289.4267"
"ETF","HDFC NIFTY Bank Exchange Traded Fund","148461","HDFC BANKING ETF - Growth Option","25 Nov, 2025","60.3572"
"ETF","HDFC NIFTY 100 Exchange Traded Fund","150476","HDFC NIFTY 100 ETF - Growth Option","25 Nov, 2025","27.1531"
"ETF","HDFC NIFTY NEXT 50 Exchange Traded Fund","150477","HDFC NIFTY NEXT 50 ETF - Growth Option","25 Nov, 2025","69.3125"
"ETF","HDFC SILVER ETF","150556","HDFC Silver ETF - Growth Option","25 Nov, 2025","149.7386"
"ETF","HDFC NIFTY50 VALUE 20 ETF","150619","HDFC NIFTY50 VALUE 20 ETF - Growth Option","25 Nov, 2025","136.6675"
"ETF","HDFC NIFTY 100 Quality 30 ETF","150620","HDFC NIFTY100 QUALITY 30 ETF - Growth Option","25 Nov, 2025","59.5222"
"ETF","HDFC NIFTY GROWTH SECTORS 15 ETF","150621","HDFC NIFTY GROWTH SECTORS 15 ETF - Growth Option","25 Nov, 2025","127.2939"
"ETF","HDFC NIFTY200 Momentum 30 ETF","150657","HDFC NIFTY200 MOMENTUM 30 ETF - Growth Option","25 Nov, 2025","31.9539"
"ETF","HDFC NIFTY100 Low Volatility 30 ETF","150658","HDFC NIFTY100 Low Volatility 30 ETF - Growth Option","25 Nov, 2025","21.3265"
"ETF","HDFC NIFTY Private Bank ETF","150802","HDFC NIFTY Private Bank ETF - Growth Option","25 Nov, 2025","28.7348"
